{{DES}}a	b	Gloss
ne$	{{POSTP}}	ERG
{{POSTP}}		Postpositions
ga:$ {{FUT}}  MASC.FUT
giː$  {{FUT}} FEM.FUT
ge$ {{FUT}} MASC.FUT
{{FUT}}   Future Tense
ijãː$	{{DES}}	DIR.PL
ijõ$	{{DES}}	OBL.PL
ijo$	{{DES}}	VOC.PL
jõ$	{{DES}}	OBL.PL
jo$	{{DES}}	VOC.PL
aː$	{{DES}}	DIR.SG
õ$	{{DES}}	OBL.PL
e$	{{DES}}	DIR.PL
o$	{{DES}}	VOC.PL
ijegã$	{{DES}}	IMP.POL
iegã$	{{DES}}	IMP.POL
ije$	{{DES}}	IMP.FRM
ie$	{{DES}}	IMP.FRM
ũ$ {{DES}} 1.SG.IRR
e$ {{DES}}  3.SG.IRR
o$ {{DES}}  2.PL.FAM.IRR
ẽ$ {{DES}} 3.PL.IRR
aː$	{{DES}}	MASC.SG.PFV
ĩː$	{{DES}}	FEM.PL.PFV
iː$	{{DES}}	FEM.SG.PFV
e$	{{DES}}	MASC.PL.PFV
taː$	{{DES}}	MASC.SG.IPFV
tiː$	{{DES}}	FEM.IPFV
te$	{{DES}}	MASC.PL.IPFV
{{DES}}		Desinences
